distance,date,time,pace
6.005199999999999,21-02-2025,28.266666666666666,4.707031683651946
7.7195,19-02-2025,37.583333333333336,4.868622751905348
5.0093000000000005,18-02-2025,21.433333333333334,4.2787082692857945
16.5167,16-02-2025,83.95,5.082734444531898
7.3682,14-02-2025,35.2,4.777286175728129
6.0123999999999995,12-02-2025,26.683333333333334,4.438050251702038
10.0604,11-02-2025,48.45,4.815911892171286
6.5516000000000005,10-02-2025,35.96666666666667,5.4897531391822865
13.648399999999999,09-02-2025,69.46666666666667,5.089729687484736
10.0441,06-02-2025,49.516666666666666,4.929925694354563
11.0075,05-02-2025,55.0,4.996593231887349
5.783,04-02-2025,27.7,4.789901435241224
5.0056,28-01-2025,25.433333333333334,5.080975973576261
10.089,22-01-2025,49.68333333333333,4.924505236726468
6.991899999999999,20-01-2025,36.61666666666667,5.237012352388717
15.456100000000001,19-01-2025,74.7,4.833043264471632
8.8612,17-01-2025,43.56666666666667,4.916565100287396
6.7217,15-01-2025,34.06666666666667,5.068162320048004
13.0182,12-01-2025,64.1,4.92387580464273
7.5499,09-01-2025,34.666666666666664,4.591672295880298
6.0025,08-01-2025,27.25,4.539775093710953
6.1866,06-01-2025,34.4,5.560404745740794
8.6539,03-01-2025,46.81666666666667,5.409892264374059
13.2775,31-12-2024,72.55,5.464131048766711
13.1618,30-12-2024,67.0,5.090489142822411
8.0273,28-12-2024,40.733333333333334,5.074350445770475
5.4661,27-12-2024,27.9,5.104187629205466
10.943,25-12-2024,58.55,5.350452343964178
10.191,24-12-2024,49.06666666666667,4.814705786151179
6.437,23-12-2024,30.433333333333334,4.727875304230749
5.526,20-12-2024,27.4,4.958378574013753
7.685,19-12-2024,37.31666666666667,4.855779657341142
5.555,18-12-2024,26.233333333333334,4.722472247224723
11.278,17-12-2024,57.68333333333333,5.1146775432996385
5.089,16-12-2024,22.9,4.499901748870111
9.386,11-12-2024,46.983333333333334,5.005682221748704
7.915,09-12-2024,40.11666666666667,5.068435460096863
10.222,08-12-2024,53.016666666666666,5.186525794039001
5.548,07-12-2024,25.933333333333334,4.67435712569094
5.027,06-12-2024,22.266666666666666,4.429414495060009
5.094,04-12-2024,22.85,4.4856694149980365
6.002,03-12-2024,29.35,4.890036654448518
8.784,02-12-2024,42.85,4.878187613843352
10.004,01-12-2024,49.1,4.908036785285886
10.026,29-11-2024,48.06666666666667,4.794201742137111
5.038,28-11-2024,22.1,4.386661373560937
5.226,20-11-2024,25.3,4.841178721775737
1.984,13-11-2024,10.6,5.342741935483871
7.171,11-11-2024,34.28333333333333,4.780830195695626
8.457,08-11-2024,43.6,5.1554924914272195
5.013,07-11-2024,22.7,4.528226610811889
5.264,04-11-2024,26.983333333333334,5.126013171225937
5.803,30-10-2024,28.133333333333333,4.84806709173416
5.008,29-10-2024,22.066666666666666,4.406283280085197
9.364,22-10-2024,44.71666666666667,4.77538089135697
5.013,21-10-2024,21.716666666666665,4.332069951459538
9.19,17-10-2024,46.88333333333333,5.101559666303954
0.635,15-10-2024,3.6333333333333333,5.721784776902887
5.002,15-10-2024,22.5,4.498200719712115
8.952,06-10-2024,45.166666666666664,5.04542746499851
5.0,02-10-2024,23.966666666666665,4.793333333333333
6.298,01-10-2024,30.3,4.811051127342013
8.665,24-09-2024,42.95,4.956722446624352
0.875,20-09-2024,4.483333333333333,5.123809523809524
5.001,20-09-2024,22.183333333333334,4.4357795107645135
7.531,19-09-2024,36.65,4.866551586774665
6.873,15-09-2024,33.016666666666666,4.803821717833066
3.549,12-09-2024,17.4,4.902789518174133
5.085,11-09-2024,24.166666666666668,4.75254015077024
8.1149,07-09-2024,43.21666666666667,5.3255944825773165
5.823,13-08-2024,27.15,4.662545079855744
6.916,11-08-2024,34.833333333333336,5.0366300366300365
5.221,07-08-2024,24.783333333333335,4.746855647066335
5.582,06-08-2024,26.133333333333333,4.68171503642661
